method,W,p_value,normal
PCA_6_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.9130155567553724,0.0013308031379477474,False
PCA_7_DBSCAN_eps0.1_min_samples5,0.982929093107731,0.6802295804176776,True
PCA_7_DBSCAN_eps0.2_min_samples5,0.9814970583053511,0.6165944874127829,True
PCA_7_DBSCAN_eps0.30000000000000004_min_samples5,0.9760467851928933,0.3997328711105916,True
PCA_7_DBSCAN_eps0.4_min_samples5,0.987218543885374,0.861145942755654,True
PCA_7_DBSCAN_eps0.5_min_samples5,0.9561590312749905,0.061398165090295935,True
PCA_7_DBSCAN_eps0.6000000000000001_min_samples5,0.9153019195693471,0.0016016123731386037,False
PCA_7_DBSCAN_eps0.7000000000000001_min_samples5,0.9695365639319029,0.22160748142046913,True
PCA_7_DBSCAN_eps0.8_min_samples5,0.981847776039823,0.6320772992271113,True
PCA_7_DBSCAN_eps0.9_min_samples5,0.949065297334015,0.031232195881263265,False
PCA_7_DBSCAN_eps1.0_min_samples5,0.985201284767496,0.7802257502782377,True
PCA_7_GMM_n_components2_covariance_typefull_random_state42,0.6841654107012617,4.349003538022341e-09,False
PCA_7_Agglomerative_n_clusters2_linkageward,0.9838363339313567,0.7206600352573611,True
PCA_7_KMeans_n_clusters2_n_init10_random_state42,0.9682758527431333,0.19675871425559133,True
PCA_7_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.7073540781713819,1.1241722891531606e-08,False
PCA_7_GMM_n_components3_covariance_typefull_random_state42,0.887522532669726,0.00019081392657828298,False
PCA_7_Agglomerative_n_clusters3_linkageward,0.9651073401721744,0.1454204219351728,True
PCA_7_KMeans_n_clusters3_n_init10_random_state42,0.987978516554422,0.8880480353847199,True
PCA_7_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.4799526308511922,4.619446206536836e-12,False
PCA_7_GMM_n_components4_covariance_typefull_random_state42,0.9733478555278656,0.31499768500414993,True
PCA_7_Agglomerative_n_clusters4_linkageward,0.9169440951898473,0.0018317159178495445,False
PCA_7_KMeans_n_clusters4_n_init10_random_state42,0.9807621590765362,0.5845252189762267,True
PCA_7_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.5149146791510594,1.2836718752007988e-11,False
PCA_7_GMM_n_components5_covariance_typefull_random_state42,0.9124727972548041,0.0012739148840344933,False
